问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,787,46,T:System.Windows.Forms.ComboBox,,,,,com_SleepCurrentSrc
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,786,43,T:System.Windows.Forms.Label,,,,,label5
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,785,51,T:System.Windows.Forms.NumericUpDown,,,,,num_minDb
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,784,43,T:System.Windows.Forms.Label,,,,,label17
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,783,46,T:System.Windows.Forms.ComboBox,,,,,com_BLList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,782,43,T:System.Windows.Forms.Label,,,,,lab_RemarkMAC
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,781,45,T:System.Windows.Forms.TextBox,,,,,txt_MAC
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,780,43,T:System.Windows.Forms.Label,,,,,lab_TitleMAC
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,779,43,T:System.Windows.Forms.Label,,,,,label6
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,778,45,T:System.Windows.Forms.TextBox,,,,,txt_tagService
